pnuc,seed=20,,pden,seed=15,,pdeep,seed=10,,,
CentralMoment_03_mean,0.238,,Density_206,0.117,,Deep_feature_122,-0.073,,,
CentralMoment_23_mean,0.367,,Density_447,0.035,,Deep_feature_164,-0.254,,,
HuMoment_4_mean,1.854,,Density_497,-0.1,,Deep_feature_183,0.282,,,
GLCM_Var_90_median,-0.122,,Density_505,0.082,,Deep_feature_222,0.122,,pnuc,0.521
Orientation_std,0.141,,Density_563,0.206,,Deep_feature_237,-0.139,,pden,0.502
CentralMoment_23_std,-0.352,,Density_669,-0.163,,Deep_feature_250,-0.223,,pdeep,0.807
HuMoment_0_std,-0.133,,Density_746,-0.195,,Deep_feature_342,0.069,,,
HuMoment_1_std,-0.341,,Density_923,-0.065,,Deep_feature_389,-0.234,,,
CentralMoment_22_lowquartile,0.148,,,,,Deep_feature_408,-0.299,,,
Eccentricity_upquartile,-0.015,,,,,Deep_feature_440,-0.196,,,
CentralMoment_03_upquartile,0.076,,,,,Deep_feature_444,4.90E-02,,,
HuMoment_4_upquartile,0.155,,,,,Deep_feature_627,0.066,,,
GLCM_Correlation_0_upquartile,0.141,,,,,Deep_feature_638,0.34,,,
,,,,,,Deep_feature_678,-0.278,,,
,,,,,,Deep_feature_704,0.169,,,
,,,,,,Deep_feature_757,-0.21,,,
,,,,,,Deep_feature_778,-0.101,,,
,,,,,,Deep_feature_786,-0.285,,,
,,,,,,Deep_feature_804,-0.203,,,
,,,,,,Deep_feature_818,0.13,,,
,,,,,,Deep_feature_831,-0.319,,,
,,,,,,Deep_feature_856,0.178,,,
,,,,,,Deep_feature_931,-0.124,,,
,,,,,,Deep_feature_988,-0.239,,,
